stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,6.221770,1.231058,1.231058,0.055000,1.176058,1.176058,55,-6.94,-5.60,1.041,OK
dut_forward,2,6.222218,1.231147,1.231147,0.055000,1.176147,1.176147,55,-6.96,-5.58,1.079,OK
dut_forward,3,6.231750,1.233033,1.233033,0.055000,1.178033,1.178033,55,-6.98,-5.60,1.091,OK
dut_forward,4,6.240428,1.234750,1.234750,0.055000,1.179750,1.179750,55,-6.96,-5.60,1.062,OK
dut_forward,5,6.237559,1.234182,1.234182,0.055000,1.179182,1.179182,55,-6.98,-5.59,1.088,OK
dut_reversed,1,6.242926,1.235244,1.235244,0.055000,1.180244,1.180244,55,-6.98,-5.59,1.052,OK
dut_reversed,2,6.203584,1.227460,1.227460,0.055000,1.172460,1.172460,55,-6.96,-5.59,1.065,OK
dut_reversed,3,6.291179,1.244792,1.244792,0.055000,1.189792,1.189792,55,-7.06,-5.58,1.000,OK
dut_reversed,4,6.450772,1.276369,1.276369,0.055000,1.221369,1.221369,55,-6.88,-5.62,0.942,OK
dut_reversed,5,6.433555,1.272963,1.272963,0.055000,1.217963,1.217963,55,-6.90,-5.56,0.963,OK
